[8, 2, 0, 0, 7, 6, 3, 5, 1, 4, 9]; 26
[1, 7, 6, 2, 0, 9, 3, 3, 3, 8, 4]; 30
[9, 3, 4, 2, 2, 2, 1, 5, 7, 8, 6]; 13
[3, 0, 0, 8, 4, 4, 2, 9, 5, 6, 6]; 149
[7, 7, 7, 3, 5, 6, 2, 2, 9, 1, 4]; 20
[1, 1, 5, 4, 4, 2, 2, 0, 8, 7, 3]; 3
[0, 7, 8, 2, 3, 5, 5, 5, 1, 9, 6]; 32
[3, 9, 1, 7, 0, 4, 2, 5, 8, 8, 6]; 34
[6, 2, 4, 7, 0, 9, 3, 1, 8, 5, 5]; 8
[2, 9, 3, 0, 5, 8, 4, 6, 1, 7, 7]; 52
[6, 3, 7, 7, 7, 2, 2, 5, 9, 8, 4]; 136
[0, 8, 2, 1, 7, 3, 9, 4, 6, 5, 5]; 180
[7, 0, 2, 4, 3, 5, 6, 6, 9, 1, 8]; 65
[2, 8, 4, 4, 7, 3, 9, 9, 9, 6, 6]; 242
[5, 0, 0, 6, 3, 2, 8, 8, 4, 1, 7]; 55
[0, 2, 1, 5, 7, 4, 9, 3, 6, 6, 6]; 162
[5, 0, 0, 3, 1, 8, 8, 8, 2, 2, 7]; 80
[2, 9, 3, 0, 5, 8, 4, 7, 1, 6, 2]; 37
[2, 0, 8, 4, 6, 3, 1, 1, 7, 9, 5]; 15
[1, 0, 8, 4, 2, 6, 3, 5, 7, 9, 9]; 182
[0, 4, 2, 8, 6, 3, 5, 9, 1, 7, 7]; 26
[3, 9, 2, 6, 0, 7, 7, 4, 8, 1, 5]; 21
[3, 0, 6, 2, 1, 4, 9, 5, 7, 8, 8]; 131
[9, 3, 3, 0, 4, 2, 1, 5, 8, 7, 6]; 10
[1, 0, 6, 3, 4, 2, 9, 8, 7, 5, 5]; 194
[7, 0, 5, 1, 9, 9, 3, 4, 2, 8, 6]; 159
[0, 8, 2, 5, 1, 1, 1, 3, 4, 4, 7]; 7
[7, 7, 0, 2, 5, 9, 3, 1, 4, 8, 6]; 35
[4, 4, 2, 2, 8, 7, 9, 3, 1, 5, 5]; 54
[3, 8, 2, 0, 6, 4, 4, 9, 1, 7, 5]; 39
[9, 3, 4, 2, 8, 8, 8, 5, 7, 6, 1]; 126
[6, 2, 0, 8, 4, 1, 5, 9, 3, 7, 7]; 75
[0, 2, 2, 9, 3, 1, 6, 5, 7, 8, 4]; 86
[2, 0, 0, 9, 3, 7, 1, 8, 4, 6, 5]; 47
[7, 2, 0, 0, 9, 3, 4, 1, 8, 6, 5]; 34
[4, 2, 8, 0, 9, 3, 1, 1, 7, 5, 6]; 12
[2, 6, 3, 0, 4, 1, 9, 7, 7, 5, 8]; 103
[2, 2, 1, 8, 4, 5, 5, 5, 9, 3, 6]; 155
[2, 7, 7, 7, 0, 9, 3, 3, 1, 4, 6]; 7
[5, 0, 6, 3, 7, 9, 1, 4, 4, 2, 2]; 5
[0, 3, 3, 4, 4, 2, 6, 1, 1, 7, 5]; 2
[3, 0, 8, 4, 2, 1, 6, 9, 9, 9, 5]; 101
[5, 5, 3, 0, 2, 6, 1, 7, 8, 4, 9]; 36
[8, 2, 7, 0, 9, 3, 4, 4, 6, 5, 1]; 55
[6, 6, 6, 3, 3, 5, 1, 8, 2, 4, 9]; 26
[3, 5, 0, 0, 2, 2, 4, 7, 1, 6, 8]; 11
[4, 4, 2, 0, 7, 1, 5, 6, 3, 8, 9]; 83
[6, 3, 7, 1, 0, 4, 2, 5, 9, 8, 4]; 32
[7, 2, 2, 0, 3, 4, 5, 5, 8, 6, 1]; 92
[8, 2, 0, 9, 3, 3, 5, 1, 7, 4, 6]; 17
[0, 4, 4, 2, 2, 5, 5, 3, 8, 1, 9]; 24
[2, 9, 3, 7, 4, 8, 5, 1, 6, 6, 6]; 21
[3, 3, 6, 2, 7, 8, 8, 4, 4, 5, 1]; 117
[2, 7, 7, 1, 5, 5, 9, 9, 3, 4, 8]; 219
[2, 3, 7, 6, 1, 5, 5, 9, 8, 4, 4]; 115
[9, 3, 4, 2, 0, 5, 7, 7, 7, 6, 1]; 19
[0, 8, 4, 2, 3, 1, 9, 7, 6, 5, 5]; 65
[0, 0, 5, 1, 7, 2, 8, 4, 4, 9, 3]; 128
[3, 3, 3, 7, 2, 1, 6, 6, 8, 4, 5]; 94
[2, 0, 0, 9, 3, 1, 7, 7, 6, 8, 4]; 95
[0, 2, 6, 3, 5, 1, 4, 4, 4, 8, 9]; 54
[0, 7, 8, 2, 9, 3, 6, 5, 4, 1, 1]; 41
[0, 2, 1, 6, 3, 9, 7, 7, 7, 7, 8]; 188
[0, 4, 2, 9, 3, 6, 6, 8, 5, 7, 1]; 110
[3, 0, 0, 7, 4, 2, 8, 6, 1, 1, 1]; 9
[4, 2, 9, 3, 0, 6, 6, 1, 7, 7, 8]; 15
[3, 8, 4, 2, 0, 5, 9, 1, 7, 6, 3]; 5
[2, 7, 6, 3, 0, 9, 1, 8, 4, 5, 5]; 15
[2, 0, 4, 9, 3, 8, 8, 7, 6, 1, 5]; 84
[5, 1, 2, 4, 6, 3, 3, 8, 8, 7, 7]; 157
[2, 1, 0, 0, 5, 5, 8, 8, 8, 4, 6]; 273
[7, 7, 3, 6, 6, 6, 2, 1, 8, 8, 4]; 31
[7, 5, 9, 9, 3, 1, 1, 2, 6, 4, 8]; 18
[7, 3, 3, 3, 3, 3, 2, 4, 6, 8, 9]; 111
[3, 3, 3, 3, 3, 2, 8, 4, 6, 7, 5]; 138
[5, 0, 8, 2, 2, 2, 1, 9, 3, 7, 6]; 14
[3, 8, 8, 2, 6, 6, 9, 9, 9, 9, 7]; 239
[0, 0, 3, 4, 2, 1, 7, 5, 5, 5, 8]; 63
[8, 8, 4, 2, 0, 9, 9, 9, 3, 3, 5]; 45
[5, 7, 9, 9, 3, 3, 3, 0, 8, 2, 6]; 1
[7, 8, 4, 2, 0, 3, 1, 1, 1, 9, 6]; 1
[6, 2, 9, 3, 0, 8, 4, 5, 1, 1, 7]; 1
[3, 0, 2, 1, 4, 5, 9, 9, 8, 6, 7]; 275
[3, 2, 7, 0, 4, 1, 1, 5, 6, 8, 9]; 11
[0, 7, 5, 5, 6, 2, 9, 3, 4, 1, 8]; 39
[4, 2, 0, 8, 1, 1, 3, 9, 7, 5, 6]; 43
[6, 2, 2, 5, 8, 4, 9, 3, 3, 1, 1]; 30
[3, 6, 6, 2, 0, 7, 9, 5, 5, 8, 4]; 61
[7, 9, 3, 0, 4, 2, 1, 8, 6, 6, 5]; 18
